Nama Makanan,Gambar,Deskripi,Bahan Makanan,Bahan Dasar,Kalori,Protein,Lemak,Karbohidrat,Kehalalan,Resep,Harga,Alergi
Rice Bowl Capcay Samcan (Non Halal),https://github.com/KostKater/ML/blob/main/Gambar/rice-bowl-capcay-samcan-non-halal-foto-resep-utama.jpg?raw=true,Nasi dengan capcay dan samcan babi yang segar dan lezat.,"2 porsi nasi putih
2 buah telur ceplok
Secukupnya bawang goreng
Bumbu Capcay :
4 siung bawang putih cincang
1 sdt garam
1 sdt kaldu bubuk
1.5 sdt gula pasir
1/2 sdt merica bubuk
150 ml air
Secukupnya minyak buat menumis
Bahan isian :
25 gr jamur kuping
2 buah wortel
2 buah kembang kol
5 buah bakso
4 lembar daun sawi putih
2 lembar sawi hijau
3 batang daun bawang
Bahan Samcan
250 gr daging samcan
5 buah bawang putih cincang
3 buah kembang lawang
1 ruas jari jahe cincang halus
1 sdt bumbu ngohiang
1 sdm kecap manis
1 sdt garam
1/2 sdt kaldu bubuk
1.5 sdt gula pasir
Secukupnya minyak buat menumis
2 batang daun bawang
","nasi, telur, bawang goreng, bawang putih, garam, kaldu bubuk, gula, merica bubuk, air, minyak, jamur kuping, wortel, kembang kol, bakso, daun sawi putih, sawi hijau, daun bawang, daging samcan, bawang putih, kembang lawang, jahe, bumbu ngohiang, kecap manis, kaldu bubuk, daun bawang,babi",400,15,20,40,0,"Langkah 1
Buat Capcay : siapkan wortel, kembang kol, jamur kuping dan daun bawang yang telah di potong2
Langkah 2
Tumis bawang putih berdama sedikit minyak hingga harumdan wangi
Langkah 3
Tambahkan wortel, kembang kol lalu tuang air. Beri garam, kaldu bubuk, gula pasir dan merica. Masak hingga wortel dan kembang kol matang.
Langkah 4
Masukkan bakso, jamur kuping, sawi putih,sawi hijau dan daun bawang. Aduk data. Test rasa. masak hingga sayur an layu dan kuah asat atau menyusut, lalu ngkat dan sisihkan.
Langkah 5
Masak Samcan : tumis bawang putih, jahe dan kembang lawang hingga harum dan wangi
Langkah 6
Setelah wangi masukkan daging samcan yg telah di potong2 kecil2 aduk rata dan masak hingga daging berubah warna
Langkah 7
Tambahkan air dan kecap, garam, ngohiong, kaldu bubuk, dan sedikit gula aduk rata
Langkah 8
Test rasa, jika sudah pas semua dan bumbu agak meresap masukkan daun bawang cincang aduk rata. Masak hingga air asat atau menyusut angkat dan sisihkan.
Langkah 9
Cara penyajian tata nasi dalam mangkok. Tuang capcay, daging samcan diatasnya. Tambahkan telur ceplok dan taburi bawan goreng.
Langkah 10
Sajiakan bersama acar dan krupuk hmmm yummy
","Rp30,000","Telur,Kedelai"
Babi sambal pedas,https://github.com/KostKater/ML/blob/main/Gambar/babi-rica-foto-resep-utama.jpg?raw=true,"Daging babi dengan bumbu rica yang pedas dan menggugah selera, sempurna untuk pecinta makanan pedas","250 g daging babi
2 lembar daun jeruk
2 ikat kemangi
500 ml air
Minyak
Air
Gula
Garam
Merica
Bumbu halus
3 buah cabe merah
4 siung bawang putih
7 siung bawang merah
3 buah kemiri
2 batang sereh
4 buah cabe rawit
1 cm kunyit
1 cm lengkuas
1 cm jahe
2 buah tomat","daging babi, daun jeruk, kemangi, Minyak, Air, Gula, Garam, Merica, Bumbu, cabai merah, bawang putih, bawang merah, kemiri, sereh, cabai rawit, kunyit, lengkuas, jahe, tomat",300,15,15,10,0,"Langkah 1
Sangrai bumbu halus sampai wangi, lalu haluskan. Potong babi sesuai selera
Langkah 2
Panaskan minyak lalu tumis bumbu halus sampai harum. Masukkan daun jeruk
Langkah 3
Masukkan daging babi aduk sampai berubah warna lalu masukkan air
Langkah 4
Tunggu sampai air sedikit menyusut beri garam, gula dan merica sampai rasa pas, masukkan kemangi aduk rata lalu angkat","Rp30,000",0
Babi Krispi Mongolian,https://github.com/KostKater/ML/blob/main/Gambar/babi-krispi-mongolian-foto-resep-utama.jpg?raw=true,Potongan daging babi yang digoreng renyah dengan saus Mongolian yang kaya rasa dan gurih,"550 gr babi sirloin potong memanjang seperti korek api
2 sdm arak masak
3 sdm kecap asin
2 sdm minyak wijen
2 sdt garam
2 asdt kaldu jamur bubuk
1/2 sdt merica
1/2 sdt paprika bubuk
1/2 sdt cabe bubuk(boleh skip)
2 sdm tepung maizena
tepung pelapis : 6 sdm tepung tapioka
Bahan tumisan
5 siung bawang putih, geprek
1/2 sdt jahe bubuk
1 buah bawang bombay iris
1 buah paprika hijau, iris
1 batang daun bawah, iris
5 buah cabe rawit merah, iris
minyak goreng untuk menumis
Bahan saus
3 sdm arak masak
2 sdm saus tiram
3 sdm kecap asin
2 sdm minyak wijen
1 sdt kaldu jamur bubuk
3 sdm palm sugar","babi, arak masak, kecap asin, minyak wijen, garam, kaldu jamur bubuk, merica, paprika, bubuk, cabai bubuk, tepung maizena, tepung tapioka, bawang putih, jahe bubuk, bawang bombay, paprika hijau, cabai rawit merah, minyak goreng, arak masak, saus tiram, kecap asin, minyak wijen, kaldu jamur bubuk, gula",400,20,20,30,0,"Langkah 1
Campur semua bahan babi krispi menjadi satu lalu aduk hingga tercampur rata, diamkan minimal 30 menit
Langkah 2
Balur rata babi dengan tepung pelapisnya lalu goreng hingga matang dan crispi
Langkah 3
Panaskan minyak, tumis bawang putih dan bawang bombay hingga layu, kemudian masukkan bahan tumisan lainnya, aduk rata
Langkah 4
Masukkan bahan saus, aduk rata hingga sausnya mengental, koreksi rasa
Langkah 5
Masukkan babi krispi lalu aduk rata kira2 1 menit. Angkat dan sajikan","Rp40,000",Kedelai
Sam Gyup Sal (pork belly) Korean BBQ,https://github.com/KostKater/ML/blob/main/Gambar/sam-gyup-sal-pork-belly-korean-bbq-foto-resep-utama.jpg?raw=true,Potongan daging perut babi yang dipanggang di atas panggangan khas Korea dengan cita rasa yang khas,"400 gr sam gyup sal/pork belly
4 siung bawang putih, haluskan
1/2 sdt jahe, haluskan
2 sdm gochujang
1.5 sdm kecap asin
1 sdm kecap raja rasa / maggi
1 sdm madu
1/2 sdm gula
1 sdm minyak wijen
1/2 sdt merica
Red pepper bubuk secukupnya (sy skip)","daging babi, bawang putih, jahe, gochujang, kecap asin, kecap raja rasa, madu, gula, minyak wijen, merica",500,20,30,20,0,"Langkah 1
Potong2 daging seukuran makan, masukkan bowl.
Di bowl lain campur semua bahan, test rasa, jika rasa sudah pas campurkan ke daging. Aduk hingga rata.
Langkah 2
Tutup bowl dengan cling wrap, Marinade min 4jam dikulkas
Langkah 3
Bakar di teflon hingga agak gosong2 dikit  selamat makann","Rp100,000",Kedelai
Pork Gyoza - Isi Piringku,https://github.com/KostKater/ML/blob/main/Gambar/pork-gyoza-isi-piringku-foto-resep-utama.jpg?raw=true,Pangsit isi daging babi yang digoreng dengan tekstur renyah di luar dan isian yang juicy di dalam,"1 pak Kulit Gyoza
150 g Daging Babi Giling
50 g Udang Cincang
1 buah Bawang Bombai, cincang halus
2 siung Bawang Putih
1 butir Telur, dikocok
100 g Kucai (saya ganti Daun Bawang)
85 g Sawi Putih, (saya ganti Jamur)
1 cm Jahe, diparut
1 sdm Tepun Tapioka
1/2 gelas Air panas (untuk disiramkan ke gyoza nanti)
1 sdm Minyak Wijen (untuk disiram saat gyoza sudah matang)
Bumbu
1 sdt Minyak Wijen
1 sdm Kecap Asin
1 sdm Saus Tiram
1 sdt Gula
1/4 sdt Merica
Secukupnya garam
Saus Cocolan
1 sdt Cabai bubuk
1 sdt Minyak Wijen
4 sdt Kecap Manis
1 cm Jahe parut
4 sdm Shoyu (ganti soy sauce)
4 sdm Air Panas","Kulit Gyoza, Daging Babi, Udang, Bawang Bombai, Bawang Putih, Telur, Kucai, Sawi Putih, Jahe, Tepung Tapioka, Air, Minyak Wijen, Minyak Wijen, Kecap Asin, Saus Tiram, Gula, Merica, garam, Saus Cocolan, Cabai bubuk, Minyak Wijen, Kecap Manis, Jahe, Shoyu",200,8,6,25,0,"Langkah 1
Bersihkan udang, cincang halus. Iris tipis daun bawang dan jamurnya. Bawang putihnya dicincang halus ya
Langkah 2
Campurkan daging giling, udang, daun bawang, jamur, bawang bombai dan bawang putih. Masukan juga semua bumbu, jahe dan telur kocoknya. Aduk sampai tercampur rata
Langkah 3
Ambil 1 lembar kulit gyoza, isi dengan adonan daging 1 sdm. Olesi air di sekeliling permukaan pinggiran kulit gyoza. Lipat kemudian lipat di satu sisi saja. Ulangi sampai daging habis
Langkah 4
Panaskan pan dengan sedikit minyak. Panggang api kecil sampai bagian bawah kecoklatan. Siram air panas dan tutup pan. Tunggu sampai air menyusut. Siram dengan minyak wijen
","Rp30,000","Telur,Kedelai,udang"
Tumis babi batang seledri dr buku Adam Liaw,https://github.com/KostKater/ML/blob/main/Gambar/tumis-babi-batang-seledri-dr-buku-adam-liaw-foto-resep-utama.jpg?raw=true,Tumisan babi dengan batang seledri yang segar dan renyah,"300 gr pork belly, iris tipis
2 sdm minyak
1 jempol jahe, iris
1 buah bawang bombay size kecil
2 siung bawang putih
3 batang celery
2 sdm saus tiram
1 sdm shaoxing wine
60 ml air","daging babi, minyak, jahe, bawang bombay, bawang putih, seledri, saus tiram, shaoxing wine, air",300,20,15,20,0,"Langkah 1
Potong batang celery miring, iris jahe dan potong dadu bawang bombay
Langkah 2
Iris tipis pork belly, sisihkan. Siapkan wajan dan beri minyak tunggu sampai panas, baru masukkan pork belly, diamkan sampai kecokelatan sekitar 3 menit, balikkan. Sisihkan di piring. (Minyak boleh disisihkan sebagian, bisa untuk tumis sayuran yg lain)
Langkah 3
Dengan sisa minyak, kita tumis jahe, bawang putih dan bawang bombay sampai wangi
Langkah 4
Masukkan celery, dan tumis 2-3 menit dengan api sedang. Masukkan babi, lalu shaoxing wine dan saus tiram.","Rp40,000",0
Bakut/Paikut Goreng Bawang Putih,https://github.com/KostKater/ML/blob/main/Gambar/bakutpaikut-goreng-bawang-putih-foto-resep-utama.jpg?raw=true,Tulang babi yang digoreng dengan bawang putih hingga garing dan lezat.,"500 gr bakut/tulang babi boleh iga
Bahan marinasi:
1/2 sdm garam
1/2 sdm saus tiram
1/2 sdt kaldu jamur
1/2 sdt royco
1 sdm kecap asin
1/2 sdm lada
2 sdm sagu tani
4 siung bawang putih cincang
1 sdm cuka","iga babi, garam, saus tiram, kaldu jamur, royco, kecap asin, lada, sagu tani, bawang putih, cuka",400,20,25,20,0,"Langkah 1
Balur semua bahan marinasi ke tulang babi, aduk merata sampai tercampur semua.
Langkah 2
Diamkan minimal 30 menit sampai bumbu meresap
Langkah 3
Panaskan minyak yg banyak
Langkah 4
Goreng 1-1 bakut pakai api kecil saja ya biar matang semua. Goreng sampai kecoklatan dan harum.
Langkah 5
Angkat tiriskan. Makan hangat2 lebih enak.
Langkah 6
Selamat mencoba!","Rp50,000",Kedelai
Pare Babi Kukus,https://github.com/KostKater/ML/blob/main/Gambar/pare-babi-kukus-foto-resep-utama.jpg?raw=true,"Pare yang dikukus bersama daging babi, menghasilkan hidangan yang sehat dan lezat.","Pare
Daging babi cincang
Bumbu Marinasi
Bawang putih cincang
Bawang putih goreng
Saos tiram
Lada
Garam","Pare, Daging babi, Bumbu Marinasi, Bawang putih, Bawang putih, Saos tiram, Lada, Garam",300,15,15,20,0,"Langkah 1
Campur babi cincang dengan bumbu marinasi nya, diamkan 10-20 menit supaya meresap
Langkah 2
Potong pare, dan masukan daging cincang, beri hiasan Cabai merah potong
Langkah 3
Kukus sampai matang","Rp35,000",0
Bakmi jowo samcan babi,https://github.com/KostKater/ML/blob/main/Gambar/bakmi-jowo-samcan-babi-foto-resep-utama.jpg?raw=true,"Bakmi Jawa dengan samcan babi yang lezat dan menggugah selera, cita rasa khas Jawa.","1 bungkus mie telur kering. Saya pake mie burung dara
Samcan babi yang sudah direbus potong sesuai selera
Kol ataupun sayuran lain sesuai selera banyaknya
Bumbu :
3 siung bawang putih
4 siung bawang merah
3 butir kemiri
Cabai rawit sesuai selera bamyaknya
Kecap manis
Merica bubuk
secukupnya Garam dan kaldu jamur
","mie telur kering, Samcan babi, Kol, bawang putih, bawang merah, kemiri, Cabai rawit, Kecap manis, Merica bubuk, Garam, kaldu jamur",500,20,25,40,0,"Langkah 1
Rebus mie Telur selama 3 menit. Kemudian angkat dan tiriskan
Langkah 2
Setelah mie ditiriskan tambahkan sedikit minyak goreng dan kecap manis. Kemudian aduk sampe rata.
Langkah 3
Haluskan bawang putih,bawang merah,Cabai rawit dan kemiri. Kemudian tumis hingga harum baunya.
Langkah 4
Setelah harum baunya masukan samcan babi,kol/sayuran dan mie kemudian tambahkan merica bubuk,garam dan kaldu jamur
Langkah 5
Aduk hingga rata sambil dikoreksi rasanya. Kalo dirasa kurang bisa ditambahkan kecap manis. Kalo rasa sudah pas sesuai selera masak mie hingga matang kurang lebih sekitar 5 menitan.
Setelah matang angkat dan sajikan dengan ditaburi bawang goreng.
Monggo silahkan dicoba resepnya.","Rp40,000","Telur,Kedelai,Gandum"
Nasi Goreng Babi Rica Kemangi,https://github.com/KostKater/ML/blob/main/Gambar/nasi-goreng-babi-rica-kemangi-foto-resep-utama.jpg?raw=true,Nasi goreng dengan daging babi yang dimasak dengan bumbu rica dan aroma segar kemangi.,"1 porsi nasi
1 porsi Babi Rica Kemangi
 Babi Rica Kemangi
1 butir telur
2 buah bakso ikan
2 buah bawang putih
1 mangkok kemangi
Secukupnya lada
Secukupnya garam","nasi, Babi Rica Kemangi, telur, bakso ikan, bawang putih, mangkok, kemangi, lada, garam",500,20,25,40,0,"Langkah 1
Potong bakso dan bawang putih.
Langkah 2
Panaskan wajan dan beri sedikit minyak. Pecahkan 1 butir telur, kasih garam dan lada. Orak arik dan sisihkan.
Langkah 3
Dengan wajan yang sama, panaskan wajan dan beri sedikit minyak. Tumis bawang putih yang sudah di cincang hingga harum. Kemudian masukkan bakso.
Langkah 4
Tambahkan babi rica kemangi yang sudah dibuat.
Langkah 5
Tambahkan nasi, bumbui dengan garam dan lada.
Langkah 6
Masukkan kembali telur yang sudah di orak arik dan kemangi yang sudah di cuci bersih. Aduk aduk sebentar.
Langkah 7
Selanjutnya bisa koreksi rasa. Jika rasa sudah pas bisa matikan kompor.
Langkah 8
Sajikan hidangan di atas piring. Selamat mencoba ","Rp45,000","Telur,Seafood"
Babi Tore,https://github.com/KostKater/ML/blob/main/Gambar/babi-tore-foto-resep-utama.jpg?raw=true,"Potongan daging babi yang digoreng dengan tepung renyah, menghasilkan hidangan yang gurih dan enak.","1 kg daging babi berkulit bagian perut
secukupnya Cuka dapur
secukupnya Garam
Minyak goreng","daging babi, Cuka, Garam, Minyak goreng",300,20,15,20,0,"Langkah 1
Cuci bersih daging dan rebus sekitar 30 menit.
Langkah 2
Tiriskan dan tusuk2 menggunakan garpu ke semua bagian daging.
Langkah 3
Kemudian tuangkan cuka dan taburkan garam secukupnya, di tutup dan diamkan 20 menit.
Langkah 4
Setelah itu diris kotak2, dan goreng pada minyak panas dan ditutup agar tdk terkena minyak panas, setiap beberapa menit di bolak balik agar tdk lengkap ke wajan.
Langkah 5
Setelah di rasa sdah garing dan tiriskan. Setelah itu Sajikan 🥰","Rp40,000",0
Samcam Cuka Hitam /Pork belly with Black vinegar (564),https://github.com/KostKater/ML/blob/main/Gambar/samcam-cuka-hitam-pork-belly-with-black-vinegar-564-foto-resep-utama.jpg?raw=true,"Potongan daging perut babi yang dimasak dengan cuka hitam, menghasilkan rasa asam manis yang khas.","500 gr samcan/ pork belly sudah rebus, potong sesuai selera
3 jempol jahe, kupas, belah, geprek,
6 siung bawang putih
Optional : 3-4Jamur hioko, rendam air panas, iris
6 butir cengkeh
1 sdt kayu manis bubuk/ 5 cm kayu manis batang
1/2 sdt lada bubuk
300 ml air panas/ kuah kaldu
2 sdm minyak untuk tumis
Bumbu:
1 sdm saos tiram
1,5-2 sdm cuka hitam/ selera
1 sdm kecap hitam
1 sdm kecap jamur/ kecap asin
1 sdt minyak wijen
2 sdm gula aren bubuk / gula pasir
Garam secukupnya (koreksi rasa sebelum menambahkan garam)","daging babi, jempol, jahe, bawang putih, Jamur hioko, cengkeh, kayu manis, batang, lada bubuk, air, kuah kaldu, minyak, saos tiram, cuka hitam, kecap hitam, kecap jamur, kecap asin, minyak wijen, gula aren bubuk / gula pasir, Garam",500,20,30,20,0,"Langkah 1
Siapkan bahan
Samcam Cuka Hitam /Pork belly with Black vinegar (564) langkah memasak 1 foto
Langkah 2
Tumis bawang+ jahe sampai harum. Masukkan samcan + cengkeh+ kayu manis, aduk rata.
Beri bumbu Tambahkan air panas. Aduk rata. tutup panci skitar 4 menit. Api medium.
Masukkan minyak wijen. Aduk, koreksi rasa.
Langkah 3
Sajikan.","Rp50,000",Kedelai
Babi Cah Tahu Kucai,https://github.com/KostKater/ML/blob/main/Gambar/babi-cah-tahu-kucai-foto-resep-utama.jpg?raw=true,"Tumisan babi dengan tahu dan kucai yang segar dan lezat, memberikan kombinasi tekstur dan rasa yang menyenangkan.","Marinasi :
200 gr Daging Babi Kapsim (iris2)
2 tbsp Kecap Asin (cap Angsa)
2 tbsp Kecap Ikan
2 tbsp Shaoxing Wine / Angciu
1 tbsp Minyak Wijen
1 tsp Vetsin HK
1 tsp Merica Bubuk
2 tbsp Tepung Maizena
(Campur semua bahan di atas merata, lalu simpan dalam kulkas minimal 30 menit)
Bahan Lain :
5 pcs Tahu Putih / Sutera Yunyi (potong kotak memanjang)
1 tbsp Tepung Maizena
1/2 pack Daun Kucai (potong2)
5 siung Bawang Putih (geprek, cincang)
Secukupnya Air
Secukupnya Minyak untuk menumis
Bumbu :
Sedikit Garam
Secukupnya Kecap Ikan dan Kecap Asin - jika perlu ditambahkan
1 tsp Knorr Ayam
1 tsp Totole
Secukupnya Merica Bubuk
1 tsp Gula Pasir","Daging Babi Kapsim, Kecap Asin, Kecap Ikan, Shaoxing Wine / Angciu, Minyak Wijen, Vetsin HK, Merica Bubuk, Tepung Maizena, Tahu Putih, Sutera Yunyi, Tepung Maizena, Daun Kucai, Bawang Putih, Air, Minyak, Garam, Kecap Ikan, Kecap Asin, Knorr Ayam, Totole, Merica Bubuk, Gula",300,15,15,20,0,"Langkah 1
Panaskan secukupnya minyak dalam wajan. Tumis bawang putih sampai wangi lalu beri sedikit garam dan gula pasir. Masukkan irisan daging yg telah di marinasi, tumis sampai kecoklatan.
Langkah 2
Balur potongan tahu dengan 1 tbsp Tepung Maizena asal saja. Lalu masukkan tahu ke dalam wajan. Tumis sebentar sampai tahu sedikit kecoklatan. Lalu beri secukupnya air. Beri sisa bumbu2 lalu TEST RASA!
Langkah 3
Setelah rasa pas, kecilkan api lalu tutup wajan sampai daging empuk. Setelah daging empuk, masukkan potongan kucai. Aduk perlahan agar tahu tidak hancur sampai kucai matang. Test rasa kembali. Angkat dan sajikan.
","Rp35,000","Kedelai,Seafood"
Kentang Babi Cincang Kecap,https://github.com/KostKater/ML/blob/main/Gambar/kentang-babi-cincang-kecap-foto-resep-utama.jpg?raw=true,"Kentang yang digoreng dengan daging babi cincang dan kecap, menghasilkan hidangan gurih dan sedap.","200 gr babi cincang
3 bh kentang
8 bh bawang merah
4 siung bawang putih
Secukupnya garam
Secukupnya bumbu jamur
Secukupnya kecap
50 ml Air
","babi cincang, kentang, bawang merah, bawang putih, garam, bumbu jamur, kecap, Air",400,15,20,40,0,"Langkah 1
Siapkan bahan-bahan
Langkah 2
Iris bawang merah, bawang putih dan potong kentang
Langkah 3
Goreng kentang hingga berkulit. Sisihkan
Langkah 4
Tumis bawang merah dan bawang putih hingga harum
Langkah 5
Masukkan babi cincang masak hingga matang
Langkah 6
Tambahkan bumbu jamur, garam dan kecap. Aduk hingga meresap.. tambahkan air
Langkah 7
Setelah meresap tambahkan kentang dan masak hingga kentang meresap.","Rp40,000",Kedelai
Sup Tulang Babi (Lingkut) kacang kedelai,https://github.com/KostKater/ML/blob/main/Gambar/sup-tulang-babi-lingkut-kacang-kedelai-foto-resep-utama.jpg?raw=true,Sup tulang babi dengan kacang kedelai yang kaya rasa dan menghangatkan perut.,"500 gr liungkut babi
Segenggam kacang kedelai
800 ml air
4 siung bawang putih (geprek)
1 ruas jahe (geprek)
Garam
Totole","liungkut babi, kacang kedelai, air, bawang putih, jahe, Garam, Totole",300,20,15,20,0,"Langkah 1
Masukan air dalam panci, masukan liungkut, bawang putih dan jahe. Rebus hingga air mendidih. Buang airnya dan Angkat lingkut lalu cuci bersih. Ini untuk menghilangkan bau babi dan agar kuah jernih.
Langkah 2
Masukan air kedalam panci dan masukan liungkut hingga mendidih
Langkah 3
Sambil menunggu, cuci kacang kedelai dan rendam dengan air
Langkah 4
Jika air sudah mendidih, tutup panci lalu kecilkan api. Masak dengan api kecil selama 30 menit
Langkah 5
Besarkan kembali api setelah 30 menit, masukan kacang kedelai, garam dan totole. Masak hingga matang. Jangan lupa koreksi rasa","Rp50,000",Kacang
Patty pork / patty daging babi (non halal),https://github.com/KostKater/ML/blob/main/Gambar/sup-tulang-babi-lingkut-kacang-kedelai-foto-resep-utama.jpg?raw=true,Patty daging babi yang dipanggang atau digoreng.,"1 bungkus fress pork giling
2 biji telur
1/4 wortel
6 buah bawang putih
1 buah kecil bawang merah (sya pakai bawang merah india)
paprika (selera)
timun (selera)
lada bubuk
garam
mayonaise pedas + original
minyak sedikit (untuk menggoreng)
margarin
cheese/keju","daging babi, telur, wortel, bawang putih, bawang merah, paprika, timun, lada bubuk, garam, mayonaise pedas, minyak, margarin, keju",200,15,10,10,0,"Langkah 1
Chopper wortel, bawang putih, bawang merah, dan paprika
Langkah 2
Kalau sudah jadikan satu d wadah dengan daging babi dan campurkan lada dan garam, uleni dan bentuk seperti bola, (ukuran sesuai selera)
Langkah 3
Setelah berbentuk bulat cetak menggunakan tangan seperti patty burger, atau bisa juga bentuk kotak/ atau yg lain (sesuai selera)
Langkah 4
Goreng dg sedikit minyak dan tambahkan margarin sedikit agar daging menjadi harum dan gurih.. dg api sedang agar daging bisa matang dg sempurna
Langkah 5
Tiriskan petty yg sudah d goreng, dan kocok telur kasih garam sedikit, dan masukkan ke dalam teflon, bentuk seperti bulatan teflon dan petty taruh atasnya, tutup petty dg telur,, atas kasih cheese/keju agar telur dn petty bisa tertutup dg baik dn bisa menjadi perekat..
Langkah 6
Buat salad,,, saya pakai mayonaise pedas dan yg original, kalo saya, saya campur dg timun iris kecil²..
taruh d piring, siapkan,, dn siap di saji","Rp30,000","Telur,susu"
Pork Asparagus Stir Fry,https://github.com/KostKater/ML/blob/main/Gambar/sup-tulang-babi-lingkut-kacang-kedelai-foto-resep-utama.jpg?raw=true,"Tumisan daging babi dengan asparagus yang segar dan renyah, memberikan kombinasi rasa dan tekstur yang enak.","1 cup Saos Stir Fry (resep terlampir)
 Beef Broccoli Stir Fry
1 cup Asparagus (yg sudah dipotong selera)
1 cup Paprika Merah (yg sudah dipotong selera)
500 g Pork Loin (potong selera, bisa diganti dengan daging lain)
Garam + Lada","Saos Stir Fry, Beef Broccoli Stir Fry, Asparagus, Paprika Merah, Pork Loin, Garam, Lada",300,20,15,20,0,"Langkah 1
Tumis daging dengan garam dan lada secukupnya hingga berubah warna, tuang saos, aduk rata, masak sebentar lalu masukan paprika dan asparagus, aduk rata, masak hingga semua bahan matang, angkat dan sajikan","Rp40,000",0
Sup Ma Ling Sosis Macaroni dengan Sayuran,https://github.com/KostKater/ML/blob/main/Gambar/sup-ma-ling-sosis-macaroni-dengan-sayuran-foto-resep-utama.jpg?raw=true,"Sup dengan sosis Ma Ling, macaroni, dan sayuran yang menghasilkan hidangan yang lezat dan bergizi.","Kuah Kaldu Ayam :
1 ekor Tulang Ayam
10 pcs Ceker Ayam Kampung
Secukupnya Air Mendidih
Secukupnya Minyak untuk menumis tulang dan ceker
Bahan Lain :
1 kaleng Ma Ling (untuk versi halal bisa diganti dengan chicken / turkey luncheon meat) - potong kotak2
10 pcs Sosis Sapi (potong2)
5 pcs Wortel (potong2)
2 pcs Kentang (potong kotak2)
1 bonggol Kembang Kol (potong2)
3 siung Bawang Putih (geprek)
2 butir Bawang Bombay (iris2)
3 batang Daun Bawang (potong2)
Secukupnya Seledri (potong2)
2 tbsp Margarine (Blue Band)
Secukupnya Macaroni Elbow (rebus terpisah lalu siram air dingin, tiriskan)
Bumbu :
Secukupnya Garam
1 tbsp Knorr Ayam / Royco Ayam
1 tbsp Totole / Vetsin HK
Secukupnya Merica Bubuk
1/2 tsp Bubuk Pala","Tulang Ayam, Ceker Ayam Kampung, Air, Minyak, Ma Ling, Sosis Sapi, Wortel, Kentang, Kembang Kol, Bawang Putih, Bawang Bombay, Daun Bawang, Seledri, Margarine, Macaroni Elbow, Garam, Royco Ayam, Totole / Vetsin HK, Merica Bubuk, Bubuk Pala",400,15,20,40,0,"Langkah 1
Panaskan secukupnya minyak dalam panci presto (boleh pakai panci biasa kalau tidak ada). Masukkan semua tulang dan ceker, beri sedikit garam lalu tumis sampai berubah warna. Masukkan air mendidih lalu buang scum / kotoran yg mengambang agar kuah bening. Tutup panci presto, masak sampai kaldu dr tulang dan ceker keluar. Matikan api. Tunggu sampai panci bisa dibuka.
Langkah 2
Jika pakai panci biasa, tutup panci, masak di api sedang cenderung kecil sampai kaldu keluar.
Langkah 3
Panaskan margarine dalam wajan, tumis bawang putih sampai sedikit kecoklatan, lalu masukkan bawang bombay tumis sampai wangi. Tuang tumisan ke dalam panci berisi kuah kaldu mendidih.
Langkah 4
Lalu masukkan wortel, masak sebentar diikuti dengan memasukkan kentang. Masak sampai wortel dan kentang agak empuk lalu masukkan kembang kol.
Langkah 5
Masukkan potongan ma ling dan sosis, masak sebentar sampai matang lalu beri bumbu2. Test rasa! Setelah rasa pas, masukkan daun bawang dan seledri. Aduk2 lalu matikan api.
Langkah 6
Tata macaroni yg sudah direbus di dasar mangkok, lalu tuang sup dengan isiannya. Sajikan.","Rp35,000",0
